"Год выборов","Заголовок","Кандидат-депутат","Возраст","Год рождения","Профессия(основное)","Вторая профессия","Третья профессия","Пол","Населённый пункт","Должность","Партийный/беспартийный","Партия","Избирательный округ","Описание целиком"
"2004","Алексанова Ирина Александровна","Кандидат","55","1949","преподаватель","","","ж","Минск","председатель комитета по труду и социальной защите МГИК","Беспартийный","","Сухаревский № 102",""
"2004","Адашкевич Владимир Степанович","Кандидат","55","1949","ученый агроном","","","м","Орша","председатель Оршанского райисполкома","Беспартийный","","Толочинский № 31",""
"2004","Автухович Николай Николаевич","Кандидат","41","1963","тракторист-машинист","","","м","Волковысск","индивидуальный предпринематель","Беспартийный","","Волковысский № 50",""
"2004","Авраменко Василий Алексеевич","Кандидат","46","1958","врач","","","м","Могилев","врач-невролог УЗ ""Могилевская городская больница скорой медицинской помощи""","Беспартийный","","Могилевский - Октябрьский № 73",""
"2004","Абломейко Владимир Анатольевич","Кандидат","32","1972","экономист-организатор","","","м",".Жабинка","Индивидуальный предприниматель","Партийный","ЛДП","Лунинецкий № 12",""
"2004","Худая Мария Николаевна","Кандидат","64","1940","бухгалтер-экономист","","","ж","Минск","депутат Палаты представителей Национального собрания Республики Беларусь","Партийный","КПБ","Несвижский № 87",""
"2004","Хрол Василий Петрович","Кандидат","47","1957","инженер-конструктор-технолог","","","м","Минск","депутат Палаты представителей Национального собрания Республики Беларусь","Беспартийный","","Глубокский № 22",""
"2004","Холопик Кирилл Вадимович","Кандидат","37","1967","инженер-электрик","","","м","Минск","депутат Палаты представителей Национального собрания Республики Беларусь","Партийный","РП","Шабановский № 93",""
"2004","Фролов Валерий Дмитриевич","Кандидат","57","1947","военнослужащий","","","м","Гродно","депутат Палаты представителей Национального собрания Республики Беларусь","Партийный","БСДП","Масюковщинский № 104",""
"2004","Сосонко Михаил Павлович","Кандидат","51","1953","инженер-электрик","","","м","Минск","депутат Палаты представителей Национального собрания Республики Беларусь","Беспартийный","","Полоцкий сельский № 29",""
"2004","Соловьев Анатолий Михайлович","Кандидат","50","1954","юрист-правовед","","","м","Гомель","депутат Палаты представителей Национального собрания Республики Беларусь","Беспартийный","","Гомельский сельский № 39",""
"2004","Симирский Валентин Романович","Кандидат","58","1946","преподаватель","","","м","Минск","депутат Палаты представителей Национального собрания Республики Беларусь","Беспартийный","","Костюковичский № 69",""
"2004","Сергиенко Николай Васильевич","Кандидат","52","1952","инженер-химик","","","м","Барановичи","депутат Палаты представителей Национального собрания Республики Беларусь","Беспартийный","","Барановичский-Восточный № 5",""
"2004","Семененя Иван Георгиевич","Кандидат","48","1956","юрист","","","м","Любань","депутат Палаты представителей Национального собрания Республики Беларусь","Беспартийный","","Любанский № 83",""
"2004","Семашко Сергей Александрович","Кандидат","44","1960","инженер путей сообщения","","","м","Витебск","депутат Палаты представителей Национального собрания Республики Беларусь","Беспартийный","","Витебский-Железнодорожный № 18",""
"2004","Свирид Александр Владимирович","Кандидат","58","1946","экономист-организатор","","","м","Минск","депутат Палаты представителей Национального собрания Республики Беларусь","Партийный","КПБ","Ивацевичский № 10",""
"2004","Попов Вадим Александрович","Кандидат","64","1940","инженер-механик","","","м","Минск","Председатель Палаты представителей Национального собрания РБ","Беспартийный","","Кличевский № 68",""
"2004","Поплавский Михаил Иванович","Кандидат","58","1946","инженер-механик","","","м","Рогачев","депутат Палаты представителей Национального собрания Республики Беларусь","Беспартийный","","Рогачевский № 47",""
"2004","Пашкевич Иван Иванович","Кандидат","49","1955","журналист","","","м","Минск","депутат Палаты представителей Национального собрания Республики Беларусь","Партийный","СДП НС","Столинский № 16 ДЕМКО Григорий Алексеевич, 1946 р., агроном, председатель СПК ""Федорский"", Федоры, Столинский район, беспартийный",""
"2004","Папруга Валентин Алексеевич","Кандидат","53","1951","ученый агроном","","","м","Печищи","депутат Палаты представителей Национального собрания Республики Беларусь","Партийный","Аграрная партия","Светлогорский № 48",""
"2004","Орда Михаил Сергеевич","Кандидат","38","1966","ветеринарный врач","","","м","Минск","депутат Палаты представителей Национального собрания Республики Беларусь, первый секретарь Центрального комитета общественного объединения ""Белорусский республиканский союз молодежи""","Беспартийный","","Лидский - сельский № 57",""
